Gene,ENS ref,refseq match,gene symbol,# nucleotides,log likelihood dN/dS >= 0,log likelihood dN/dS=1,p-value for likelihood ratio test of dN/dS=1 versus dN/dS > 1.  Test not performed for data genes with 2 mutations or less or less than 50 codons. p=1 indicates that dN/dS < 1.,included in restrictive data set?
HC10343,,,FBXO11,159,-213.775,-215.407,,yes
HC10344,ENSG00000160746,NM_018075,FLJ10375,609,-828.212,-828.945,,yes
HC10345,ENSG00000135636,NM_003494,DYSF,4869,-6560.49,-6574.43,1,yes
HC10346,ENSG00000116473,NM_002884,RAP1A,57,,,,yes
HC10347,ENSG00000105750,NM_003429,ZNF85,984,-1350.78,-1351.15,1,yes
HC10348,,,UREB1,9369,-12833.6,-12840.2,1,no
HC10349,ENSG00000170289,NM_019098,CNGB3,1575,-2212.06,-2215.38,1,yes
HC10350,ENSG00000158158,NM_020184,CNNM4,1410,-1851.53,-1865.9,1,yes
HC10351,ENSG00000105819,NM_004279,PMPCB,1059,-1432.49,-1432.78,,yes
HC10352,ENSG00000108395,NM_015294,TRIM37,1461,-1987.82,-1991.14,1,yes
HC10353,ENSG00000159063,NM_024079,MGC2840,348,-472.879,-473.966,,yes
HC10354,,,,132,,,,no
HC10355,,,,42,,,,no
HC10356,ENSG00000119866,NM_022893,BCL11A,1845,-2468.31,-2474.29,1,no
HC10357,ENSG00000062485,NM_004077,CS,159,-216.628,-217.893,,yes
HC10358,ENSG00000117335,"NM_153826,NM_172350,NM_172353,NM_172356,NM_172358,NM_172359,NM_172360,NM_172361",CR1,249,-333.258,-334.62,,yes
HC10359,,,,108,,,,no
HC10360,ENSG00000154175,NM_015429,TARSH,537,-713.399,-714.677,,yes
HC10361,ENSG00000154175,NM_015429,TARSH,843,-1170.04,-1170.2,1,yes
HC10362,,,MGC10963,192,-254.292,-254.686,,no
HC10363,,NM_178315,MGC10963,201,-285.28,-286.313,1,yes
HC10364,ENSG00000161057,NM_002803,PSMC2,537,-721.176,-723.845,,yes
HC10365,ENSG00000161048,NM_198990,,1077,-1492.44,-1492.45,1,yes
HC10366,ENSG00000182050,NM_013244,HGNT-IV-H,1266,-1680.44,-1684.76,1,yes
HC10367,ENSG00000141096,NM_022357,LOC64180,1137,-1562.94,-1566.95,1,yes
HC10368,ENSG00000105821,"XM_168590,XM_379909",,678,-880.088,-880.358,,no
HC10369,ENSG00000184922,NM_005892,FMNL,87,,,,yes
HC10370,,,,288,-386.408,-387.552,,yes
HC10371,,,,141,,,,no
HC10372,,,,72,,,,no
HC10373,,,,342,-477.844,-478.508,,no
HC10374,,,,300,-408.942,-410.105,,no
HC10375,,,,141,,,,no
HC10376,,,KRTAP4-12,180,-202.056,-202.056,,yes
HC10377,,,,45,,,,no
HC10378,,,,168,-234.511,-234.772,,no
HC10379,,XM_373365,,324,-428.496,-430.901,,no
HC10380,,,LGTN,66,,,,yes
HC10381,,,,222,-304.16,-304.473,,no
HC10382,,,,312,-458.707,-458.723,1,no
HC10383,,,PTPN2,198,-276.828,-276.883,1,no
HC10384,,,,174,-293.228,-295.224,0.042732,no
HC10385,,,GBP4,1533,-2146.02,-2146.8,1,yes
HC10386,,,,171,-245.93,-247.344,0.199994,no
HC10387,ENSG00000134086,NM_000551,VHL,510,-656.887,-659.862,,yes
HC10388,,,,105,,,,no
HC10389,,,,252,-342.654,-342.956,,no
HC10390,,,,225,-297.358,-297.358,,no
HC10391,,,,195,-267.02,-267.115,,no
HC10392,,,OSBP,81,,,,no
HC10393,,,,183,-238.886,-238.886,,no
HC10394,,,,417,-576.183,-576.184,1,yes
HC10395,ENSG00000010438,NM_002771,,159,-238.718,-240.165,1,yes
HC10396,,,,234,-325.097,-325.467,,no
HC10397,,,,324,-462.997,-463.132,0.417708,no
HC10398,,,MTRF1L,198,-289.481,-291.013,0.154167,no
HC10399,,,,741,-1074.24,-1074.47,1,no
HC10400,ENSG00000171823,NM_152441,MGC40195,1143,-1448.68,-1459.78,1,yes
HC10401,,,,303,-404.612,-404.976,,no
HC10402,,,,363,-507.43,-507.536,1,no
HC10403,,,,120,,,,no
HC10404,,,,150,-214.447,-215.226,,no
HC10405,,,,390,-542.349,-542.35,1,no
HC10406,,,,237,-354.408,-354.418,0.526672,no
HC10407,,,KCNC2,189,-250.1,-250.1,,no
HC10408,,,,93,,,,no
HC10409,,,,189,-267.627,-267.632,0.635034,no
HC10410,,,,84,,,,no
HC10411,,,,57,,,,no
HC10412,,,,195,-266.971,-267.98,,no
HC10413,,,,357,-502.966,-503.381,1,no
HC10414,ENSG00000179399,NM_004466,,150,-204.726,-205.026,,yes
HC10415,,,,222,-307.172,-308.766,0.007302,no
HC10416,,,,237,-339.33,-340.323,0.327018,no
HC10417,,,,90,,,,no
HC10418,,,,201,-261.516,-261.864,,no
HC10419,ENSG00000183496,"NM_032246,XM_290645",,396,-507.015,-507.015,,yes
HC10420,,,,156,-213.043,-214.045,0.325891,no
HC10421,,,,276,-374.392,-374.392,,no
HC10422,,,TERF2IP,465,-705.234,-705.234,1,no
HC10423,,,,201,-279.638,-280.005,,no
HC10424,,,,51,,,,no
HC10425,,,,213,-288.175,-289.505,,no
HC10426,,,,165,-230.171,-230.789,,no
HC10427,,,LOC201158,414,-590.439,-591.497,1,yes
HC10428,,,,138,,,,no
HC10429,,,MGC14376,69,,,,yes
HC10430,,,EVER2,123,,,,yes
HC10431,ENSG00000175691,NM_021217,,1386,-1971.69,-1972.39,1,yes
HC10432,ENSG00000141867,NM_058243,BRD4,576,-729.684,-732.424,,yes
HC10433,ENSG00000173880,,,117,,,,no
HC10434,,,,342,-489.871,-490.159,1,no
HC10435,,,,42,,,,no
HC10436,,,MGC10812,93,,,,no
HC10437,,,,213,-294.17,-294.518,,no
HC10438,,,,120,,,,no
HC10439,,,,111,,,,no
HC10440,ENSG00000181007,NM_133466,,1467,-1995.26,-2002.2,1,yes
HC10441,,,,117,,,,no
HC10442,,,,60,,,,no
HC10443,,,FLJ31340,1740,-2380.14,-2385.31,1,yes
HC10444,,,,66,,,,no
HC10445,,,,204,-278.694,-278.949,,no
HC10446,,,MGC20452,240,-325.247,-325.247,,yes
HC10447,,,,279,-402.505,-402.549,0.296488,no
HC10448,,,,72,,,,no
HC10449,ENSG00000179847,,,312,-429.337,-430.316,1,no
HC10450,,,,120,,,,no
HC10451,ENSG00000152428,NM_138395,LOC92935,900,-1227.89,-1227.91,1,yes
HC10452,,,,429,-611.615,-612.669,1,no
HC10453,,,,210,-275.316,-276.636,,no
HC10454,,,TUBA1,231,-319.169,-319.522,,no
HC10455,ENSG00000178568,NM_005235,ERBB4,90,,,,yes
HC10456,,,,54,,,,no
HC10457,ENSG00000091157,"NM_015285,NM_052834",WDR7,3486,-4822.53,-4835.45,1,yes
HC10458,,,,132,,,,no
HC10459,,,,309,-432.811,-432.813,1,no
HC10460,,,,126,,,,no
HC10461,,,PER2,45,,,,no
HC10462,ENSG00000179818,NM_152792,FLJ25084,162,-208.921,-208.921,,yes
HC10463,,,,180,-232.676,-232.676,,no
HC10464,,,,168,-230.657,-231.045,,no
HC10465,,,,123,,,,no
HC10466,,,,576,-781.26,-781.31,1,no
HC10467,,,FLJ20160,159,-220.179,-220.187,0.342915,yes
HC10468,,,,144,,,,no
HC10469,,,MYEOV,129,,,,no
HC10470,,,,222,-328.54,-328.646,0.494357,no
HC10471,,,,198,-274.449,-274.869,,no
HC10472,ENSG00000170953,XM_166757,,351,-494.894,-494.916,0.524386,no
HC10473,,,,282,-401.835,-401.935,0.398232,no
HC10474,,XM_379044,,72,,,,no
HC10475,,,,264,-397.53,-398.091,1,no
HC10476,,,FLJ22582,75,,,,no
HC10477,,,,285,-378.878,-378.878,,no
HC10478,,,,285,-393.684,-394.341,,no
HC10479,,,LOC51244,39,,,,no
HC10480,,,,150,-202.279,-202.611,,no
HC10481,,,,159,-218.286,-218.591,,no
HC10482,,,,180,-260.339,-260.575,1,no
HC10483,,,,207,-290.785,-290.857,,no
HC10484,,,ING2,198,-233.848,-233.848,,no
HC10485,,XM_376254,,111,,,,no
HC10486,,NM_153690,,318,-377.468,-377.468,,yes
HC10487,,,,123,,,,no
HC10488,,,,207,-283.703,-284.077,,no
HC10489,,,MGC29898,291,-398.444,-398.578,,no
HC10490,,,,33,,,,no
HC10491,,,,489,-646.442,-646.757,,no
HC10492,,,,2118,-2980.99,-2982.38,1,yes
HC10493,,,,216,-290.297,-290.625,,no
HC10494,,,,135,,,,no
HC10495,,,,171,-244.406,-244.417,1,no
HC10496,,,,120,,,,no
HC10497,,,,339,-476.333,-477.346,1,no
HC10498,,,,51,,,,no
HC10499,,,,477,-690.225,-690.241,0.374481,no
HC10500,,,,90,,,,no
HC10501,,,,144,,,,no
HC10502,,,,135,,,,no
HC10503,,,MAPK9,306,-464.324,-464.447,0.412285,no
HC10504,,,FLJ32535,267,-382.059,-383.653,0.007198,no
HC10505,,,,78,,,,no
HC10506,,,,168,-213.055,-213.055,,no
HC10507,,,,102,,,,no
HC10508,,,,306,-432.12,-433.055,1,no
HC10509,ENSG00000135164,,DMTF1,2160,-2895.15,-2900.45,1,yes
HC10510,,,,177,-245.547,-246.587,1,no
HC10511,,,,231,-318.773,-319.175,,no
HC10512,,,,159,-204.953,-204.953,,no
HC10513,,,,228,-309.495,-310.151,,no
HC10514,,,,318,-451.784,-452.152,1,no
HC10515,,,,168,-249.005,-249.148,0.37352,no
HC10516,ENSG00000175336,NM_001638,APOF,297,-398.438,-398.438,,yes
HC10517,,,,321,-431.326,-431.326,,no
HC10518,,,YEA,318,-414.972,-415.341,,no
HC10519,,,,78,,,,no
HC10520,,,,279,-384.435,-385.088,,no
HC10521,ENSG00000161634,NM_053283,DCD,195,-265.087,-266.135,,yes
HC10522,,NM_152557,FLJ31413,51,,,,yes
HC10523,ENSG00000172551,NM_058173,LOC118430,120,,,,yes
HC10524,,,,339,-477.23,-479.094,0.064094,no
HC10525,ENSG00000119862,NM_014181,HSPC159,480,-661.912,-664.345,,yes
HC10526,,,dJ55C23.6,1257,-1717.01,-1717.36,1,yes
HC10527,,,UREB1,795,-1072.44,-1073.69,,no
HC10528,,,N33,57,,,,yes
HC10529,,,ANP32E,102,,,,no
HC10530,,,ZNF305,357,-479.615,-479.952,,yes
HC10531,,,,195,-259.673,-260.817,1,no
HC10532,,,,144,,,,no
HC10533,,,,198,-272.636,-273.712,1,no
HC10534,,,,240,-348.551,-349.22,1,no
HC10535,,,,381,-514.696,-515.031,,no
HC10536,,,,123,,,,no
HC10537,,,,78,,,,no
HC10538,,,,276,-395.825,-395.935,0.230114,no
HC10539,,,,150,-201.783,-202.054,,no
HC10540,ENSG00000136110,NM_007015,,210,-281.404,-281.404,,yes
HC10541,,,,57,,,,no
HC10542,,,,183,-245.308,-245.785,,no
HC10543,,,,306,-417.518,-418.695,0.021418,no
HC10544,,,,51,,,,no
HC10545,ENSG00000141034,NM_024052,MGC3048,162,-214.259,-215.473,,yes
HC10546,,,,84,,,,no
HC10547,,NM_004853,STX8,291,-390.873,-392.034,,yes
HC10548,,,,378,-520.421,-521.858,0.177103,no
HC10549,,,MGC17515,315,-488.31,-489.872,0.04775,no
HC10550,,,,435,-614.104,-615.475,0.219604,no
HC10551,,,,354,-506.923,-508.9,0.007126,no
HC10552,ENSG00000152684,NM_015946,PELO,420,-551.55,-551.55,,yes
HC10553,ENSG00000138468,NM_020654,SENP7,2004,-2685.14,-2685.17,1,yes
HC10554,ENSG00000004777,,SNX26,486,-653.909,-657.744,1,yes
HC10555,,,SUFU,270,-360.497,-360.574,,no
HC10556,,,,132,,,,no
HC10557,,,,60,,,,no
HC10558,,,,126,,,,no
HC10559,,,RPS6KA2,183,-238.53,-238.53,,no
HC10560,,,,87,,,,no
HC10561,,,,201,-274.565,-274.994,,no
HC10562,,,SLC33A1,180,-250.579,-251.349,0.32892,no
HC10563,,,,192,-262.603,-262.936,,no
HC10564,,,,96,,,,no
HC10565,,,,189,-254.521,-255.025,,no
HC10566,,,,90,,,,no
HC10567,,,,36,,,,yes
HC10568,,,,291,-398.81,-399.159,,no
HC10569,,XM_373544,,111,,,,no
HC10570,,,,231,-320.188,-320.518,,no
HC10571,,,,405,-516.587,-518.206,,no
HC10572,,,,150,-204.676,-205.091,,no
HC10573,ENSG00000113100,NM_016279,CDH9,231,-294.758,-296.377,,yes
HC10574,,,,132,,,,no
HC10575,,,PAICS,360,-507.715,-508.784,0.275729,no
HC10576,,,,123,,,,no
HC10577,,,,165,-249.654,-249.979,0.233854,no
HC10578,,,,174,-248.461,-248.461,1,no
HC10579,,,,255,-365.351,-366.311,1,no
HC10580,,,MFAP3,201,-275.875,-277.083,,no
HC10581,,,LOC153222,75,,,,no
HC10582,,,,225,-315.129,-315.192,1,no
HC10583,,,,102,,,,no
HC10584,,,,48,,,,no
HC10585,,,,162,-212.049,-212.378,,no
HC10586,,,,618,-843.436,-845.991,1,yes
HC10587,,,,36,,,,no
HC10588,,,,342,-464.762,-465.462,,no
HC10589,,,,18,,,,no
HC10590,,,,369,-486.843,-486.843,,no
HC10591,,,CIAS1,117,,,,no
HC10592,,,,30,,,,no
HC10593,,,,162,-227.07,-227.865,1,no
HC10594,,,DJ159A19.3,372,-481.211,-482.358,,no
HC10595,,,,84,,,,no
HC10596,,,,27,,,,no
HC10597,,,,57,,,,no
HC10598,,,,63,,,,no
HC10599,,,DMD,45,,,,no
HC10600,ENSG00000126733,NM_053281,,261,-357.811,-358.637,0.340649,yes
HC10601,,,,288,-399.97,-400.627,,no
HC10602,,,,189,-261.689,-261.71,1,no
HC10603,,,,231,-335.611,-335.613,1,no
HC10604,,,,123,,,,no
HC10605,,,LRRN1,138,,,,no
HC10606,,,,243,-328.258,-328.566,,no
HC10607,,,HD,324,-453.358,-454.048,1,no
HC10608,,,ATP10D,210,-287.943,-287.965,1,no
HC10609,,,,279,-394.403,-394.405,1,no
HC10610,,,,102,,,,no
HC10611,,,,276,-411.613,-412.062,0.287609,no
HC10612,,,,228,-311.307,-312.54,,no
HC10613,,,,99,,,,no
HC10614,,,,90,,,,no
HC10615,,,,153,-217.065,-217.743,,no
HC10616,ENSG00000179886,NM_032862,TIGD5,147,,,,yes
HC10617,,,,420,-602.867,-603.254,1,no
HC10618,,,,150,-197.213,-197.213,,no
HC10619,,,,231,-301.312,-301.312,,no
HC10620,,,,258,-367.92,-367.937,1,no
HC10621,,,,186,-258.186,-258.397,,no
HC10622,,,,162,-223.981,-224.012,1,no
HC10623,,,,294,-414.777,-414.834,0.244171,no
HC10624,,,,243,-328.308,-328.911,,no
HC10625,,,,195,-265.662,-265.679,1,no
HC10626,,,,141,,,,no
HC10627,,,,162,-231.375,-232.287,0.328911,no
HC10628,,,,96,,,,no
HC10629,,,LOC159091,252,-358.837,-359.734,1,yes
HC10630,,,,147,,,,no
HC10631,ENSG00000086991,NM_016931,NOX4,198,-289.213,-290.622,0.162498,yes
HC10632,,,,180,-228.841,-228.841,,no
HC10633,,,,243,-332.064,-332.309,,no
HC10634,,,,99,,,,no
HC10635,ENSG00000186453,NM_198553,,408,-551.019,-551.641,,yes
HC10636,,,,36,,,,no
HC10637,,,,228,-310.65,-313.031,,no
HC10638,,,,258,-354.653,-354.971,,no
HC10639,,,DTNA,282,-375.568,-375.568,,no
HC10640,,,,177,-242.548,-243.097,0.328928,no
HC10641,,,,306,-428.429,-429.471,0.309395,no
HC10642,,,ROD1,207,-264.934,-264.934,,no
HC10643,,,,120,,,,no
HC10644,,,,33,,,,no
HC10645,ENSG00000183695,NM_054030,MRGX2,537,-751.479,-752.186,0.182853,yes
HC10646,,,,843,-1101.56,-1105.8,1,no
HC10647,,,VTI1B,129,,,,no
HC10648,,,,309,-425.572,-426.77,,no
HC10649,,,,528,-752.276,-753.063,0.103146,no
HC10650,,,CRBPIV,33,,,,yes
HC10651,ENSG00000171914,NM_015059,TLN2,4152,-5605.4,-5613.95,1,yes
HC10652,,,,138,,,,no
HC10653,,,ADAM9,180,-232.883,-234.133,,no
HC10654,,,,474,-676.463,-676.465,0.404469,no
HC10655,,,,162,-216.246,-216.58,,no
HC10656,,XM_379432,,81,,,,no
HC10657,,,,201,-284.481,-284.525,1,no
HC10658,,,,288,-404.905,-405.042,,no
HC10659,,,,54,,,,no
HC10660,,,PTPRK,147,,,,no
HC10661,,,,273,-382.478,-383.661,0.01727,no
HC10662,ENSG00000185115,NM_138704,NDNL2,384,-520.467,-520.779,,yes
HC10663,,,,72,,,,no
HC10664,,,RAD51,87,,,,yes
HC10665,,,,399,-579.892,-582.627,0.006243,no
HC10666,,,,90,,,,no
HC10667,,,,207,-278.012,-279.358,,no
HC10668,,,,27,,,,no
HC10669,,,,162,-232.785,-232.946,,no
HC10670,,,,165,-234.591,-235.412,,no
HC10671,,,,321,-444.809,-444.852,1,no
HC10672,,,,234,-311.721,-311.721,,no
HC10673,,,,132,,,,no
HC10674,,,ADMP,375,-516.513,-516.858,,no
HC10675,,,,279,-385.944,-385.945,1,no
HC10676,,,,231,-321.381,-322.39,0.324823,no
HC10677,,,,246,-339.62,-340.479,0.32892,no
HC10678,,,,114,,,,no
HC10679,,,,210,-276.303,-276.303,,no
HC10680,,,,177,-227.865,-228.406,,no
HC10681,,,,129,,,,no
HC10682,,,,219,-282.817,-283.269,,no
HC10683,,,,372,-524.093,-524.096,0.635147,no
HC10684,ENSG00000179780,NM_032030,FKSG83,180,-250.831,-251.755,1,yes
HC10685,,,,195,-238.616,-239.316,,no
HC10686,,,,252,-367.911,-368.091,1,no
HC10687,,,,42,,,,no
HC10688,,,,204,-292.243,-292.25,1,no
HC10689,,,,153,-217.289,-217.558,1,no
HC10690,,,,132,,,,no
HC10691,,,,99,,,,no
HC10692,,,,171,-233.701,-235.029,,no
HC10693,,,SNAPAP,69,,,,yes
HC10694,,,MGC34760,282,-380.032,-380.405,,no
HC10695,,,,288,-409.224,-410.397,0.024682,no
HC10696,ENSG00000188091,NM_182635,SEMA4D,330,-464.606,-464.625,0.520411,yes
HC10697,,,,201,-279.819,-279.842,1,no
HC10698,,,RNPS1,552,-785.124,-789.054,1,no
HC10699,,,KIAA1243,153,-202.852,-202.852,,yes
HC10700,,,,285,-405.685,-405.701,0.622347,no
HC10701,,,,24,,,,no
HC10702,ENSG00000178287,,,177,-236.062,-236.062,,no
HC10703,,,MGC10600,108,,,,no
HC10704,,NM_032524,KRTAP4-4,489,-553.449,-554.099,0.340732,yes
HC10705,,,,168,-249.493,-249.664,0.231118,no
HC10706,ENSG00000129204,NM_004505,USP6,234,-345.994,-346.089,0.323413,yes
HC10707,ENSG00000163797,NM_004891,MRPL33,171,-233.161,-234.382,,yes
HC10708,ENSG00000153471,NM_004610,TCP10,240,-329.629,-330.289,,yes
HC10709,ENSG00000103037,NM_024860,FLJ21148,1026,-1393.17,-1393.97,1,yes
HC10710,ENSG00000185433,NM_058184,C21orf42,240,-325.596,-325.922,,yes
HC10711,ENSG00000179087,NM_004668,,429,-639.535,-645.403,1,yes
HC10712,,,NMNAT1,114,,,,yes
HC10713,ENSG00000127720,NM_032230,,714,-953.126,-953.447,,yes
HC10714,ENSG00000173753,,,183,-244.038,-244.038,,no
HC10715,,,,327,-524.96,-533.467,1,no
HC10716,,,,303,-475.437,-475.467,1,no
HC10717,,,,264,-375.232,-375.232,0.635251,no
HC10718,,,,378,-547.094,-547.38,0.34411,no
HC10719,ENSG00000152404,NM_152434,,210,-266.896,-266.896,,yes
HC10720,,XM_378316,,129,,,,no
HC10721,,,,186,-251.407,-251.755,,no
HC10722,,,DKFZp434B0417,417,-560.444,-560.444,,yes
HC10723,ENSG00000153498,,LOC122258,231,-325.178,-325.179,0.644985,yes
HC10724,,,,255,-334.342,-334.696,,no
HC10725,,,,168,-235.072,-235.222,,no
HC10726,,XM_378706,,63,,,,no
HC10727,,,,1245,-1711.02,-1711.21,1,yes
HC10728,ENSG00000188868,,LOC147837,354,-472.97,-472.97,,yes
HC10729,,,,24,,,,no
HC10730,,XM_378794,,42,,,,no
HC10731,,,DKFZP434J046,288,-381.854,-383.952,,no
HC10732,,,,93,,,,no
HC10733,ENSG00000188624,"NM_207393,XM_371183",,216,-289.747,-289.747,,yes
HC10734,,XM_376171,,102,,,,yes
HC10735,,NM_001001666,,60,,,,yes
HC10736,,,,567,-802.335,-802.376,0.366843,no
HC10737,,,DKFZp762E1312,123,,,,no
HC10738,,,,48,,,,no
HC10739,,,,192,-261.773,-262.116,,no
HC10740,ENSG00000187045,NM_153609,TMPRSS6,324,-420.878,-420.878,,yes
HC10741,,,KIAA1194,1251,-1714.85,-1719.88,1,yes
HC10742,ENSG00000079841,NM_014989,RIMS1,915,-1246.5,-1250.59,1,yes
HC10743,ENSG00000188994,XM_048070,,429,-585.551,-585.695,,no
HC10744,,,,315,-442.013,-443.253,0.001363,no
HC10745,ENSG00000104728,,ARHGEF10,153,-210.477,-210.874,,no
HC10746,,,BNIP-S,414,-563.854,-563.854,,yes
HC10747,,,,294,-406.616,-406.961,,no
HC10748,,,,30,,,,no
HC10749,,,,237,-331.691,-332.668,1,no
HC10750,,,,210,-301.51,-306.381,1,no
HC10751,,,,159,-211.395,-211.395,,no
HC10752,ENSG00000164711,,APOARGC,228,-327.388,-327.447,0.506897,no
HC10753,,,,135,,,,no
HC10754,,,,237,-325.815,-326.791,1,no
HC10755,ENSG00000185056,,,39,,,,no
HC10756,,,,21,,,,no
HC10757,,,FLJ12178,486,-637.982,-637.982,,no
HC10758,,,,261,-354.802,-356.066,,no
HC10759,,,,0,,,,no
HC10760,,,,96,,,,no
HC10761,,,,156,-215.131,-215.763,,no
HC10762,,,,270,-354.902,-355.398,,no
HC10763,,,MAGED1,444,-578.937,-579.368,,yes
HC10764,,,,246,-334.926,-335.064,,no
HC10765,,,,138,,,,no
HC10766,,,,132,,,,no
HC10767,,,,51,,,,no
HC10768,,,ZNF75,192,-251.006,-251.006,,yes
HC10769,,,ABCG8,135,,,,yes
HC10770,,,,159,-231.481,-231.705,1,no
HC10771,,,,285,-386.886,-387.226,,no
HC10772,,,,147,,,,no
HC10773,ENSG00000132283,NM_144666,FLJ32752,888,-1196.87,-1197.48,1,yes
HC10774,ENSG00000133812,NM_030962,,363,-508.334,-509.085,1,yes
HC10775,ENSG00000179242,NM_001794,,108,,,,yes
HC10776,,,,90,,,,no
HC10777,ENSG00000165617,NM_016651,DACT1,72,,,,yes
HC10778,,,,66,,,,no
HC10779,,,,0,,,,yes
HC10780,,XM_044727,,417,-583.189,-584.068,1,no
HC10781,,,,165,-232.173,-233.125,0.328726,no
HC10782,ENSG00000178997,,MGC33637,405,-562.955,-562.965,1,yes
HC10783,,,,108,,,,no
HC10784,,,,429,-602.54,-606.134,1,no
HC10785,,,,192,-259.533,-259.871,,no
HC10786,,,,387,-541.585,-541.99,1,no
HC10787,,XM_060509,,300,-400.762,-401.062,,no
HC10788,ENSG00000160867,"NM_002011,NM_213647",FGFR4,228,-294.911,-294.911,,yes
HC10789,,,MGC46534,78,,,,yes
HC10790,,,,219,-314.232,-315.19,1,no
HC10791,ENSG00000152404,NM_152434,FLJ32343,324,-443.968,-444.592,,yes
HC10792,ENSG00000171817,NM_152606,DKFZp547B0714,108,,,,yes
HC10793,,,LOC150677,264,-348.039,-352.689,1,yes
HC10794,,XM_087384,,99,,,,no
HC10795,,,FLJ32685,207,-289.825,-290.027,,no
HC10796,,XM_371820,,99,,,,no
HC10797,,,,165,-220.673,-220.99,,no
HC10798,ENSG00000162598,NM_152377,MGC34837,486,-673.143,-673.148,1,yes
HC10799,ENSG00000180819,"NM_203393,XM_376565,XM_379772",,294,-428.198,-430.945,0.047197,yes
HC10800,,,,462,-658.978,-659.506,1,no
HC10801,ENSG00000172401,"NM_130441,NM_203503",CLECSF11,258,-344.858,-344.858,,yes
HC10802,ENSG00000132541,NM_005836,UK114,351,-476.767,-476.982,,yes
HC10803,,NM_000989,RPL30,342,-469.197,-471.721,,yes
HC10804,ENSG00000164920,,OSR2,168,-224.443,-224.443,,yes
HC10805,,,FLJ13955,501,-678.292,-678.619,1,yes
HC10806,ENSG00000104356,NM_015029,POP1,1257,-1750.31,-1752.12,1,yes
HC10807,ENSG00000146729,NM_001483,GBAS,555,-763.398,-767.199,1,yes
HC10808,ENSG00000149929,NM_003609,HIRIP3,1650,-2227.34,-2230.14,1,yes
HC10809,ENSG00000130568,XM_375806,KIAA0476,3321,-4506.94,-4508.67,1,no
HC10810,ENSG00000173890,NM_014373,GPCR1,594,-786.753,-786.962,,yes
HC10811,ENSG00000163558,NM_002740,PRKCI,444,-595.634,-597.072,,yes
HC10812,ENSG00000085274,NM_018657,MYNN,1485,-1994.67,-2000.14,1,yes
HC10813,ENSG00000173889,NM_024947,PHC3,423,-575.054,-576.353,,yes
HC10814,,XM_035946,,1842,-2512.56,-2516.45,1,no
HC10815,ENSG00000013297,NM_005602,CLDN11,429,-566.814,-569.355,,yes
HC10816,ENSG00000109618,NM_153825,SLA/LP,1293,-1750.9,-1750.95,1,yes
HC10817,ENSG00000070669,"NM_001673,NM_133436,NM_183356",ASNS,1455,-1993.79,-2002.68,1,yes
HC10818,ENSG00000164715,NM_014916,KPI2,3666,-5078.22,-5082.36,1,yes
HC10819,ENSG00000135175,"NM_006188,XM_379777",,174,-231.757,-233.019,,no
HC10820,,NM_152754,SEMA3D,1842,-2512.5,-2514.37,1,yes
HC10821,,,DHCR7,387,-482.281,-490.904,1,yes
HC10822,ENSG00000184647,NM_198464,,489,-683.739,-684.68,1,yes
HC10823,ENSG00000174343,NM_017581,CHRNA9,339,-456.165,-458.783,,yes
HC10824,,,EN1,48,,,,yes
HC10825,ENSG00000115107,NM_018234,TSAP6,546,-744.26,-746.345,1,yes
HC10826,ENSG00000144119,NM_182528,,171,-217.915,-217.915,,yes
HC10827,ENSG00000129993,NM_005187,CBFA2T3,345,-452.585,-457.254,1,yes
HC10828,ENSG00000051620,NM_014320,HEBP2,330,-444.16,-444.496,,yes
HC10829,ENSG00000135540,,,678,-929.823,-930.18,0.305543,no
HC10830,,,REPS1,1953,-2605.57,-2609.07,1,yes
HC10831,ENSG00000187759,,,150,-204.046,-205.367,,no
HC10832,ENSG00000046651,NM_003611,OFD1,2856,-3827.46,-3830.27,1,yes
HC10833,ENSG00000146677,,,342,-476.408,-477.849,0.154182,no
HC10834,ENSG00000106636,NM_006555,YKT6,489,-663.872,-665.065,,yes
HC10835,ENSG00000058404,NM_001220,CAMK2B,1257,-1730.66,-1737.82,1,yes
HC10836,ENSG00000158604,NM_182547,,567,-731.914,-731.914,,yes
HC10837,ENSG00000015676,,KIAA1068,600,-794.44,-795.768,,yes
HC10838,ENSG00000106631,NM_021223,MYLC2A,123,,,,yes
HC10839,ENSG00000102302,NM_004463,FGD1,1875,-2509.51,-2514.95,1,no
HC10840,ENSG00000158526,NM_058163,DT1P1A10,435,-575.02,-577.515,,yes
HC10841,ENSG00000165450,,,282,-402.449,-406.561,1,no
HC10842,,,,840,-1131.82,-1134.71,1,yes
HC10843,ENSG00000148384,NM_019892,INPP5E,939,-1240.71,-1252.78,1,yes
HC10844,ENSG00000156298,NM_004615,TM4SF2,471,-624.915,-624.915,,yes
HC10845,ENSG00000036473,NM_000531,OTC,612,-832.64,-832.811,,yes
HC10846,,,,1377,-1815.72,-1815.95,,yes
HC10847,,,RBMX,240,-328.464,-329.17,,no
HC10848,ENSG00000089472,"NM_014799,NM_138737",HEPH,2412,-3315.1,-3322.23,1,yes
HC10849,ENSG00000177156,NM_006755,TALDO1,105,,,,yes
HC10850,ENSG00000107758,NM_021132,PPP3CB,1158,-1546.82,-1548.23,,yes
HC10851,ENSG00000164045,NM_001789,CDC25A,1326,-1826.91,-1828.8,1,yes
HC10852,ENSG00000164047,NM_004345,CAMP,507,-692.026,-693.137,1,yes
